Loc id 1,Loc id 2, length (m)
CT47,CT222,27704
CT47,CT25,28099
CT47,CT180,29326
CT46,CT229,1871
CT46,CT103,15954
CT49,CT155,11041
CT49,CT236,11284
CT49,CT89,13135
CT48,CT245,8684
CT48,CT56,11316
CT48,CT13,13760
CT48,CT73,13999
CT48,CT305,18185
CT50,CT84,15280
CT50,CT103,15564
CT50,CT233,16308
CT50,CT110,17099
CT50,CT60,18339
CT50,CT46,21476
CT52,CT259,4087
CT51,CT183,45326
CT51,CT182,46060
CT51,CT261,63803
CT54,CT98,14342
CT54,CT115,21162
CT54,CT299,22024
CT54,CT27,28347
CT53,CT227,7449
CT53,CT140,10468
CT53,CT156,14830
CT53,CT70,16178
CT53,CT10,19688
CT56,CT245,5627
CT56,CT305,16504
CT56,CT13,20358
CT55,CT96,16746
CT55,CT154,17865
CT55,CT132,23231
CT55,CT243,24665
CT55,CT130,29154
CT55,CT212,29293
CT58,CT317,7137
CT58,CT106,13595
CT58,CT234,21462
CT57,CT64,5942
CT57,CT189,11349
CT57,CT145,15039
CT59,CT88,18975
CT59,CT176,20205
CT59,CT239,24548
CT59,CT312,25434
CT59,CT295,34274
CT61,CT319,23114
CT61,CT318,35878
CT61,CT149,37586
CT60,CT233,3631
CT60,CT84,4077
CT60,CT136,12286
CT60,CT117,12774
CT63,CT2,896
CT62,CT287,5044
CT62,CT86,15950
CT62,CT108,17463
CT62,CT239,18499
CT62,CT300,18902
CT65,CT189,7051
CT65,CT57,17293
CT65,CT64,19591
CT64,CT189,15182
CT64,CT240,18932
CT67,CT99,19162
CT67,CT175,35387
CT67,CT58,45393
CT67,CT317,48100
CT66,CT307,11513
CT66,CT298,21861
CT66,CT36,24822
CT69,CT160,13987
CT69,CT288,15907
CT69,CT165,16748
CT68,CT187,4694
CT68,CT72,13897
CT68,CT153,16678
CT68,CT279,16972
CT309,CT226,2064
CT309,CT150,2536
CT309,CT290,4675
CT308,CT280,14341
CT308,CT161,19079
CT308,CT253,25574
CT308,CT71,25703
CT308,CT213,26835
CT308,CT119,27376
CT307,CT293,14842
CT307,CT207,17348
CT307,CT36,22863
CT306,CT100,3787
CT306,CT237,7732
CT306,CT128,7775
CT306,CT92,10370
CT305,CT13,12911
CT304,CT280,13231
CT304,CT71,15379
CT304,CT14,18002
CT304,CT168,21895
CT304,CT184,29910
CT1,CT283,4513
CT1,CT256,8776
CT1,CT148,21931
CT303,CT229,5153
CT303,CT285,17727
CT303,CT152,18943
CT303,CT159,19095
CT303,CT110,22544
CT2,CT158,2822
CT302,CT138,24232
CT302,CT17,30934
CT3,CT286,4882
CT3,CT114,6514
CT301,CT116,12829
CT301,CT262,15189
CT301,CT256,18501
CT301,CT148,21512
CT301,CT230,23619
CT4,CT260,11029
CT4,CT311,18360
CT4,CT284,18398
CT4,CT257,19411
CT4,CT170,21310
CT4,CT211,22837
CT300,CT228,14787
CT300,CT276,18489
CT5,CT317,6932
CT5,CT234,15566
CT6,CT286,10177
CT6,CT104,10631
CT6,CT265,11033
CT7,CT231,15006
CT8,CT131,23819
CT8,CT296,38680
CT8,CT264,41139
CT8,CT204,44342
CT9,CT281,13264
CT9,CT237,14841
CT9,CT128,19122
CT70,CT140,10199
CT70,CT200,16552
CT70,CT227,21509
CT72,CT272,8761
CT72,CT279,12728
CT72,CT246,12988
CT72,CT187,17417
CT71,CT16,16562
CT71,CT280,16666
CT74,CT137,4478
CT74,CT225,7726
CT74,CT138,19683
CT73,CT248,13379
CT73,CT245,16800
CT76,CT208,12029
CT76,CT120,13256
CT76,CT146,14118
CT76,CT214,16278
CT76,CT166,16510
CT75,CT105,2536
CT75,CT268,12676
CT78,CT89,16898
CT78,CT210,16923
CT78,CT155,18225
CT77,CT315,26892
CT77,CT134,27168
CT77,CT124,38870
CT77,CT188,40481
CT79,CT157,7475
CT79,CT223,12696
CT79,CT188,22685
CT79,CT97,24664
CT319,CT149,35135
CT319,CT295,38418
CT319,CT168,44301
CT318,CT167,24538
CT318,CT169,33676
CT318,CT149,40256
CT318,CT14,49404
CT318,CT319,54181
CT317,CT234,16754
CT317,CT106,18716
CT317,CT99,30520
CT316,CT117,6423
CT316,CT233,11509
CT316,CT276,14774
CT315,CT188,16461
CT315,CT230,26744
CT315,CT148,33726
CT315,CT126,34316
CT314,CT82,3863
CT314,CT275,24516
CT314,CT12,33832
CT313,CT247,12954
CT313,CT242,15888
CT313,CT164,21126
CT312,CT239,15963
CT312,CT184,19830
CT312,CT313,24559
CT312,CT242,27355
CT311,CT257,14425
CT311,CT170,19561
CT310,CT267,30348
CT310,CT249,37748
CT310,CT17,49045
CT310,CT173,52326
CT310,CT201,55140
CT81,CT311,19666
CT81,CT274,20026
CT81,CT255,22244
CT81,CT139,23359
CT81,CT236,24626
CT80,CT206,270
CT83,CT201,15151
CT83,CT23,22979
CT83,CT18,23559
CT83,CT163,42924
CT83,CT115,43344
CT82,CT275,22363
CT82,CT12,31413
CT82,CT251,43378
CT85,CT121,12657
CT85,CT132,17165
CT85,CT284,19014
CT85,CT130,24895
CT85,CT4,26285
CT84,CT233,5371
CT84,CT136,10401
CT87,CT128,4996
CT87,CT24,15820
CT86,CT174,5096
CT86,CT287,12961
CT86,CT29,15870
CT86,CT108,17103
CT86,CT113,18499
CT89,CT236,13063
CT89,CT155,15618
CT88,CT295,22026
CT88,CT176,31184
CT209,CT142,4803
CT209,CT218,6343
CT209,CT181,16048
CT208,CT120,11975
CT208,CT262,15004
CT207,CT293,15923
CT80,CT210,4647
CT205,CT127,19978
CT205,CT37,22908
CT205,CT208,25020
CT205,CT76,25950
CT204,CT264,5259
CT204,CT179,18486
CT204,CT52,20424
CT203,CT147,9282
CT203,CT250,11398
CT202,CT112,11155
CT202,CT252,12703
CT202,CT196,14120
CT202,CT104,14552
CT202,CT185,15139
CT323,CT255,5388
CT323,CT320,19577
CT201,CT23,23444
CT201,CT18,28557
CT322,CT321,3272
CT322,CT113,6316
CT322,CT133,8018
CT322,CT108,12267
CT200,CT278,16994
CT200,CT281,21033
CT200,CT53,22980
CT321,CT133,7628
CT321,CT238,8275
CT320,CT153,16004
CT320,CT255,17382
CT320,CT68,18500
CT320,CT187,19469
CT90,CT288,8236
CT90,CT142,12134
CT90,CT91,13389
CT90,CT166,16378
CT90,CT218,16901
CT92,CT283,8860
CT92,CT100,12873
CT92,CT278,16395
CT91,CT270,15022
CT91,CT214,15056
CT94,CT245,26733
CT94,CT56,27850
CT94,CT22,31971
CT94,CT296,34602
CT94,CT73,35208
CT93,CT19,3808
CT93,CT259,4324
CT93,CT95,8278
CT96,CT154,14683
CT96,CT124,17710
CT96,CT258,25494
CT95,CT19,8645
CT98,CT299,10150
CT98,CT27,15657
CT98,CT115,24368
CT97,CT25,10781
CT97,CT223,22107
CT97,CT188,28555
CT97,CT157,28850
CT99,CT58,29507
CT99,CT5,31774
CT219,CT270,16450
CT219,CT70,21536
CT219,CT26,25320
CT219,CT140,27102
CT218,CT142,8198
CT218,CT146,12809
CT217,CT21,16646
CT217,CT119,17107
CT217,CT284,26489
CT217,CT161,28732
CT216,CT247,4552
CT216,CT164,8779
CT216,CT139,12187
CT216,CT236,16865
CT215,CT145,16166
CT215,CT189,19403
CT215,CT65,23786
CT215,CT57,24195
CT214,CT166,9459
CT213,CT161,12032
CT213,CT260,14103
CT213,CT253,18485
CT213,CT170,21108
CT213,CT273,23298
CT212,CT243,23891
CT212,CT134,31359
CT212,CT124,31808
CT212,CT96,34545
CT212,CT154,44902
CT211,CT257,8764
CT211,CT153,10755
CT211,CT121,15345
CT211,CT320,21862
CT211,CT130,21931
CT210,CT147,10235
CT210,CT155,12560
CT109,CT28,1698
CT108,CT113,10687
CT108,CT133,11506
CT229,CT285,19487
CT229,CT110,21943
CT107,CT297,30205
CT107,CT177,32218
CT228,CT30,11236
CT228,CT60,14459
CT228,CT133,15117
CT228,CT233,16159
CT106,CT271,16032
CT106,CT234,24399
CT227,CT10,16389
CT227,CT291,19329
CT105,CT192,9309
CT105,CT63,11732
CT226,CT241,5835
CT104,CT185,6916
CT104,CT45,15972
CT225,CT137,7921
CT225,CT266,11596
CT224,CT299,15648
CT224,CT235,21582
CT224,CT27,28125
CT224,CT297,29487
CT224,CT182,31202
CT102,CT195,12911
CT102,CT112,13795
CT223,CT157,10241
CT223,CT25,27394
CT101,CT15,3852
CT101,CT241,4106
CT101,CT294,5730
CT222,CT126,27495
CT222,CT1,31870
CT222,CT283,33694
CT222,CT25,34823
CT222,CT97,35827
CT100,CT237,5235
CT100,CT281,6667
CT221,CT220,15918
CT220,CT276,15701
CT220,CT207,18109
CT119,CT21,22152
CT119,CT122,27349
CT118,CT178,16957
CT118,CT270,24887
CT118,CT69,34834
CT239,CT287,15336
CT239,CT174,19952
CT117,CT30,1744
CT117,CT233,11313
CT238,CT136,5576
CT238,CT250,10335
CT238,CT133,11038
CT116,CT278,17654
CT116,CT26,18935
CT237,CT281,5013
CT237,CT128,6299
CT115,CT18,22129
CT115,CT27,27060
CT236,CT139,8022
CT236,CT164,10276
CT114,CT286,7184
CT235,CT183,19104
CT235,CT234,28260
CT113,CT133,12785
CT113,CT147,12830
CT112,CT252,5070
CT112,CT38,11239
CT111,CT251,17222
CT111,CT231,17581
CT111,CT143,17971
CT232,CT158,1954
CT232,CT28,2195
CT110,CT250,9726
CT110,CT136,10043
CT110,CT285,10074
CT110,CT238,12676
CT231,CT143,11890
CT230,CT262,18509
CT230,CT148,25392
CT129,CT294,5129
CT129,CT241,5137
CT129,CT226,7208
CT129,CT150,7812
CT129,CT101,7884
CT128,CT100,8347
CT249,CT267,18369
CT249,CT131,24221
CT249,CT190,53655
CT127,CT146,13125
CT127,CT218,15014
CT248,CT22,7403
CT248,CT24,9947
CT126,CT148,12343
CT126,CT256,23448
CT126,CT1,25074
CT126,CT188,28057
CT247,CT164,10152
CT125,CT135,6223
CT125,CT289,10141
CT125,CT185,14680
CT125,CT104,20069
CT246,CT181,9648
CT246,CT272,9908
CT246,CT279,15260
CT124,CT55,30423
CT245,CT305,20442
CT245,CT13,20980
CT123,CT271,12148
CT123,CT25,18136
CT123,CT175,20771
CT244,CT191,7534
CT244,CT144,7546
CT244,CT141,8041
CT122,CT308,31026
CT122,CT169,32304
CT122,CT280,34173
CT243,CT132,28240
CT243,CT96,39556
CT121,CT130,15641
CT242,CT16,9404
CT242,CT273,18253
CT242,CT184,20223
CT242,CT40,20816
CT120,CT26,13278
CT120,CT214,19129
CT120,CT262,20705
CT241,CT294,6200
CT240,CT65,21382
CT240,CT57,22959
CT139,CT164,10365
CT139,CT274,11288
CT138,CT225,13749
CT138,CT173,27422
CT259,CT19,6823
CT137,CT266,6272
CT258,CT130,13783
CT258,CT154,16179
CT258,CT187,18180
CT136,CT133,11746
CT257,CT153,16325
CT135,CT289,5662
CT135,CT114,14652
CT256,CT283,11921
CT256,CT148,16189
CT256,CT92,17014
CT134,CT124,37333
CT134,CT96,51637
CT134,CT315,52563
CT255,CT41,27513
CT254,CT268,3463
CT254,CT277,6492
CT132,CT121,26750
CT132,CT154,29997
CT253,CT273,15640
CT253,CT71,17079
CT131,CT267,40889
CT131,CT115,48187
CT131,CT264,52455
CT252,CT292,11181
CT252,CT38,15081
CT130,CT154,13799
CT130,CT153,20282
CT251,CT143,13808
CT250,CT285,7642
CT149,CT168,22429
CT149,CT14,22576
CT149,CT169,32001
CT149,CT304,33536
CT149,CT295,34507
CT269,CT282,13862
CT269,CT13,14221
CT269,CT151,20357
CT268,CT277,6770
CT268,CT63,8586
CT146,CT166,8301
CT146,CT214,16146
CT145,CT189,19299
CT145,CT282,20043
CT266,CT7,21350
CT144,CT20,10111
CT265,CT286,16003
CT265,CT292,16675
CT264,CT263,22316
CT264,CT31,25192
CT263,CT31,22541
CT141,CT109,5973
CT141,CT19,7978
CT262,CT116,21329
CT140,CT156,11873
CT140,CT200,24230
CT261,CT182,28458
CT261,CT54,31665
CT261,CT163,37436
CT260,CT170,15147
CT260,CT284,19713
CT159,CT152,5663
CT159,CT226,8880
CT159,CT241,9829
CT279,CT272,18933
CT279,CT181,20673
CT278,CT100,17058
CT278,CT281,18133
CT156,CT291,21178
CT277,CT20,9940
CT277,CT151,10856
CT277,CT63,11806
CT155,CT29,12655
CT276,CT30,11235
CT154,CT121,26630
CT275,CT251,23010
CT153,CT187,13495
CT274,CT40,15410
CT274,CT170,16192
CT152,CT101,6910
CT152,CT241,7704
CT273,CT170,17180
CT273,CT16,21390
CT151,CT20,12106
CT150,CT290,3909
CT271,CT175,26112
CT271,CT58,27935
CT270,CT178,15100
CT270,CT214,23720
CT169,CT14,22915
CT168,CT295,19250
CT168,CT14,25918
CT168,CT184,26721
CT289,CT114,15514
CT289,CT165,16410
CT167,CT169,46370
CT167,CT61,57920
CT288,CT160,12596
CT288,CT142,12968
CT166,CT91,15876
CT166,CT218,16351
CT287,CT174,10840
CT287,CT108,19567
CT165,CT198,24698
CT285,CT15,12466
CT285,CT152,13843
CT285,CT101,15292
CT163,CT12,26402
CT163,CT23,42832
CT163,CT54,54166
CT284,CT161,23530
CT284,CT213,24831
CT162,CT172,20268
CT162,CT34,35534
CT162,CT207,36886
CT283,CT306,17872
CT161,CT260,22893
CT161,CT253,24508
CT161,CT119,28729
CT282,CT151,19508
CT282,CT57,24874
CT282,CT13,24957
CT280,CT14,24044
CT280,CT253,26106
CT10,CT291,6048
CT12,CT275,45392
CT11,CT179,6357
CT11,CT244,14712
CT11,CT52,15623
CT11,CT141,19253
CT16,CT184,15359
CT16,CT253,18918
CT15,CT294,7269
CT18,CT54,33456
CT18,CT98,43276
CT17,CT173,19629
CT17,CT138,29798
CT17,CT225,34652
CT179,CT171,6786
CT179,CT52,10647
CT179,CT244,16633
CT178,CT91,18362
CT178,CT69,23622
CT178,CT90,24588
CT299,CT27,18805
CT177,CT296,22853
CT177,CT180,35401
CT298,CT103,20996
CT298,CT221,24459
CT298,CT36,24732
CT298,CT50,28624
CT176,CT239,37755
CT176,CT300,39356
CT297,CT27,10495
CT297,CT299,25554
CT297,CT115,36210
CT175,CT25,28200
CT296,CT180,42143
CT296,CT42,45119
CT296,CT204,45694
CT174,CT29,19874
CT174,CT108,20995
CT295,CT184,28584
CT173,CT266,23170
CT173,CT225,23470
CT172,CT293,15165
CT172,CT207,21223
CT293,CT36,29284
CT293,CT34,29637
CT171,CT52,8746
CT170,CT40,17723
CT291,CT186,4691
CT291,CT53,20471
CT21,CT132,41180
CT21,CT161,44355
CT20,CT2,9881
CT23,CT143,45292
CT22,CT24,6871
CT22,CT73,17263
CT24,CT128,19829
CT26,CT214,24578
CT29,CT49,13818
CT29,CT113,15878
CT186,CT156,22207
CT185,CT6,15720
CT184,CT71,23107
CT183,CT182,25139
CT183,CT224,32529
CT183,CT234,42222
CT183,CT299,45061
CT182,CT299,34712
CT182,CT235,34978
CT182,CT98,42024
CT181,CT142,18407
CT181,CT32,19440
CT181,CT160,20660
CT180,CT94,36445
CT180,CT222,40958
CT206,CT294,15628
CT65,CT10,23403
